run,repetition,module,name,rowtype,data...
Example_GameMode_Easy-0-20221129-08:20:35-5417,0,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-0-20221129-08:20:35-5417,0,Network.player,boss_throughput:vector,VALUE,0.191000000000000002
Example_GameMode_Easy-1-20221129-08:20:35-5423,1,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-1-20221129-08:20:35-5423,1,Network.player,boss_throughput:vector,VALUE,0.181999999999999994
Example_GameMode_Easy-2-20221129-08:20:35-5428,2,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-2-20221129-08:20:35-5428,2,Network.player,boss_throughput:vector,VALUE,0.20000000000000001
Example_GameMode_Easy-3-20221129-08:20:35-5433,3,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-3-20221129-08:20:35-5433,3,Network.player,boss_throughput:vector,VALUE,0.189
Example_GameMode_Easy-4-20221129-08:20:36-5438,4,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-4-20221129-08:20:36-5438,4,Network.player,boss_throughput:vector,VALUE,0.17799999999999999
