run,repetition,module,name,rowtype,data...
Example_GameMode_Easy-15-20221129-08:20:38-5495,0,Network.player,boss_throughput:vector,VALUE,0.068
Example_GameMode_Easy-16-20221129-08:20:38-5500,1,Network.player,boss_throughput:vector,VALUE,0.045
Example_GameMode_Easy-17-20221129-08:20:38-5505,2,Network.player,boss_throughput:vector,VALUE,0.059
Example_GameMode_Easy-18-20221129-08:20:38-5510,3,Network.player,boss_throughput:vector,VALUE,0.047
Example_GameMode_Easy-19-20221129-08:20:39-5515,4,Network.player,boss_throughput:vector,VALUE,0.046
Example_GameMode_Easy-15-20221129-08:20:38-5495,0,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-16-20221129-08:20:38-5500,1,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-17-20221129-08:20:38-5505,2,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-18-20221129-08:20:38-5510,3,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-19-20221129-08:20:39-5515,4,Network.player,boss_throughput:vector,TIME,1000
