run,repetition,module,name,rowtype,data...
Example_GameMode_Easy-10-20221129-08:20:37-5469,0,Network.player,boss_throughput:vector,VALUE,0.08
Example_GameMode_Easy-11-20221129-08:20:37-5474,1,Network.player,boss_throughput:vector,VALUE,0.062
Example_GameMode_Easy-12-20221129-08:20:37-5479,2,Network.player,boss_throughput:vector,VALUE,0.081
Example_GameMode_Easy-13-20221129-08:20:37-5484,3,Network.player,boss_throughput:vector,VALUE,0.067
Example_GameMode_Easy-14-20221129-08:20:38-5490,4,Network.player,boss_throughput:vector,VALUE,0.061
Example_GameMode_Easy-10-20221129-08:20:37-5469,0,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-11-20221129-08:20:37-5474,1,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-12-20221129-08:20:37-5479,2,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-13-20221129-08:20:37-5484,3,Network.player,boss_throughput:vector,TIME,1000
Example_GameMode_Easy-14-20221129-08:20:38-5490,4,Network.player,boss_throughput:vector,TIME,1000
